Country,Bin_Year,Rrinc_min,Rrinc_max
Singapore,2008,2711,46890
Slovak Republic,1988,2803,9365
Slovak Republic,1993,2486,8840
Slovak Republic,1998,1310,8833
Slovak Republic,2003,1410,9532
Slovak Republic,2008,1729,9914
Slovenia,1988,2762,12548
Slovenia,1993,2647,16323
Slovenia,1998,3839,33157
Slovenia,2003,2630,16134
Slovenia,2008,4468,20390
South Africa,1993,258,9627
South Africa,1998,235,8257
South Africa,2003,335,18018
South Africa,2008,361,15928
Spain,1988,1989,17723
Spain,1993,1606,24049
Spain,1998,2816,29216
Spain,2003,2303,26695
Spain,2008,2966,24857
Sri Lanka,1988,343,2507
Sri Lanka,1993,355,2905
Sri Lanka,1998,316,2415
Sri Lanka,2003,357,4040
Sri Lanka,2008,436,4705
St. Lucia,1993,238,3843
Sudan,2008,268,2616
Suriname,1998,248,9059
Swaziland,1993,43,2058
Swaziland,1998,103,2309
Swaziland,2008,159,3845
Sweden,1993,3658,21599
Sweden,1998,4423,27407
Sweden,2003,5359,29992
Sweden,2008,5262,28988
Switzerland,1993,3843,45005
Switzerland,1998,5134,46200
Switzerland,2003,4874,43051
Switzerland,2008,,53300
Syrian Arab Republic,2003,546,4700
Taiwan,1993,3994,25488
Taiwan,1998,3596,27233
Taiwan,2003,3804,27161
Taiwan,2008,4432,27839
Tajikistan,1998,177,1204
Tajikistan,2003,229,1750
Tajikistan,2008,422,2904
Tanzania,1993,238,2436
Tanzania,2003,97,853
Tanzania,2008,124,1307
Thailand,1988,343,4519
Thailand,1993,457,6304
Thailand,1998,526,6344
Thailand,2003,546,6851
Thailand,2008,705,8034
Timor-Leste,2003,171,1848
Timor-Leste,2008,267,1797
Togo,2008,221,1825
Trinidad and Tobago,1988,592,9914
Trinidad and Tobago,1993,463,6681
Tunisia,1988,414,5571
Tunisia,1993,425,5872
Tunisia,1998,534,6910
Tunisia,2003,633,8484
Turkey,1988,615,9155
Turkey,1993,555,7890
Turkey,1998,751,10654
Turkey,2003,558,8961
Turkey,2008,773,10759
Turkmenistan,1998,258,3179
Turkmenistan,2003,524,7297
Uganda,1988,85,1487
Uganda,1993,112,1580
Uganda,1998,127,1871
Uganda,2003,164,2154
Uganda,2008,193,2959
Ukraine,1993,583,7477
Ukraine,1998,653,4154
Ukraine,2003,910,4597
Ukraine,2008,1582,8768
United Kingdom,1988,1866,22217
United Kingdom,1993,2710,30179
United Kingdom,1998,3057,33113
United Kingdom,2003,3943,49103
United Kingdom,2008,5425,52257
United States,1988,2636,43279
United States,1993,2746,43930
United States,1998,3142,56135
United States,2003,3203,60274
United States,2008,3283,72925
Uruguay,1988,973,16242
Uruguay,1993,883,13020
Uruguay,1998,1002,19386
Uruguay,2003,737,14136
Uruguay,2008,937,18168
Uzbekistan,1988,203,835
Uzbekistan,1993,69,577
Uzbekistan,2003,184,1511
Venezuela, RB,1988,506,15618
Venezuela, RB,1993,454,8388
Venezuela, RB,1998,227,8030
Venezuela, RB,2003,111,5250
Venezuela, RB,2008,316,8725
Vietnam,1993,166,1393
Vietnam,1998,213,1753
Vietnam,2003,264,2463
Vietnam,2008,326,2888
West Bank and Gaza,2008,1173,10359
Yemen, Rep.,1998,328,2809
Yemen, Rep.,2003,293,3107
Yemen, Rep.,2008,233,2404
Zambia,1993,54,1983
Zambia,1998,81,2801
Zambia,2003,128,1669
Zambia,2008,74,2195
Zimbabwe,1993,112,3263
Zimbabwe,1998,110,2180
